DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointPrice,DSTFlag
09/06/2026,5,4,HB_BUSAVG,43.94,N
09/06/2026,6,1,HB_BUSAVG,39.3,N
09/06/2026,6,2,HB_BUSAVG,42.25,N
09/06/2026,6,3,HB_BUSAVG,42.78,N
09/06/2026,6,4,HB_BUSAVG,43.07,N
09/06/2026,7,1,HB_BUSAVG,44.01,N
09/06/2026,7,2,HB_BUSAVG,47.13,N
09/06/2026,7,3,HB_BUSAVG,49.2,N
09/06/2026,7,4,HB_BUSAVG,55.65,N
09/06/2026,8,1,HB_BUSAVG,120.65,N
09/06/2026,8,2,HB_BUSAVG,103.31,N
09/06/2026,8,3,HB_BUSAVG,55.51,N
09/06/2026,8,4,HB_BUSAVG,35.05,N
09/06/2026,9,1,HB_BUSAVG,30.55,N
09/06/2026,9,2,HB_BUSAVG,27.69,N
09/06/2026,9,3,HB_BUSAVG,26.58,N
09/06/2026,9,4,HB_BUSAVG,25.07,N
09/06/2026,10,1,HB_BUSAVG,26.83,N
09/06/2026,10,2,HB_BUSAVG,27.13,N
09/06/2026,10,3,HB_BUSAVG,28.58,N
09/06/2026,10,4,HB_BUSAVG,30.25,N
09/06/2026,11,1,HB_BUSAVG,32.19,N
09/06/2026,11,2,HB_BUSAVG,33.73,N
09/06/2026,11,3,HB_BUSAVG,33.97,N
09/06/2026,11,4,HB_BUSAVG,35.01,N
09/06/2026,12,1,HB_BUSAVG,34.87,N
09/06/2026,12,2,HB_BUSAVG,36.27,N
09/06/2026,12,3,HB_BUSAVG,36.52,N
09/06/2026,12,4,HB_BUSAVG,36.34,N
09/06/2026,13,1,HB_BUSAVG,30.44,N
09/06/2026,13,2,HB_BUSAVG,32.39,N
09/06/2026,13,3,HB_BUSAVG,33.96,N
09/06/2026,13,4,HB_BUSAVG,30.9,N
09/06/2026,14,1,HB_BUSAVG,28.68,N
09/06/2026,14,2,HB_BUSAVG,27.97,N
09/06/2026,14,3,HB_BUSAVG,27.35,N
09/06/2026,14,4,HB_BUSAVG,26.89,N
09/06/2026,15,1,HB_BUSAVG,26.74,N
09/06/2026,15,2,HB_BUSAVG,28.5,N
09/06/2026,15,3,HB_BUSAVG,27.86,N
09/06/2026,15,4,HB_BUSAVG,32.17,N
09/06/2026,16,1,HB_BUSAVG,30.81,N
09/06/2026,16,2,HB_BUSAVG,30.44,N
09/06/2026,16,3,HB_BUSAVG,28.93,N
09/06/2026,16,4,HB_BUSAVG,33.49,N
09/06/2026,17,1,HB_BUSAVG,28.61,N
09/06/2026,17,2,HB_BUSAVG,27.25,N
09/06/2026,17,3,HB_BUSAVG,27.29,N
09/06/2026,17,4,HB_BUSAVG,27.99,N
09/06/2026,18,1,HB_BUSAVG,27.0,N
09/06/2026,18,2,HB_BUSAVG,31.19,N
09/06/2026,18,3,HB_BUSAVG,30.88,N
09/06/2026,18,4,HB_BUSAVG,44.21,N
09/06/2026,19,1,HB_BUSAVG,34.74,N
09/06/2026,19,2,HB_BUSAVG,46.85,N
09/06/2026,19,3,HB_BUSAVG,59.46,N
09/06/2026,19,4,HB_BUSAVG,61.32,N
09/06/2026,20,1,HB_BUSAVG,54.73,N
09/06/2026,20,2,HB_BUSAVG,59.59,N
09/06/2026,20,3,HB_BUSAVG,59.8,N
09/06/2026,20,4,HB_BUSAVG,60.67,N
09/06/2026,21,1,HB_BUSAVG,58.92,N
09/06/2026,21,2,HB_BUSAVG,54.73,N
09/06/2026,21,3,HB_BUSAVG,50.04,N
09/06/2026,21,4,HB_BUSAVG,48.03,N
09/06/2026,22,1,HB_BUSAVG,52.3,N
09/06/2026,22,2,HB_BUSAVG,51.5,N
09/06/2026,22,3,HB_BUSAVG,50.36,N
09/06/2026,22,4,HB_BUSAVG,48.05,N
09/06/2026,23,1,HB_BUSAVG,49.5,N
09/06/2026,23,2,HB_BUSAVG,46.16,N
09/06/2026,23,3,HB_BUSAVG,40.95,N
09/06/2026,23,4,HB_BUSAVG,37.09,N
09/06/2026,24,1,HB_BUSAVG,42.79,N
09/06/2026,24,2,HB_BUSAVG,41.84,N
09/06/2026,24,3,HB_BUSAVG,39.89,N
09/06/2026,24,4,HB_BUSAVG,36.03,N
09/05/2026,1,1,HB_BUSAVG,37.1,N
09/05/2026,1,2,HB_BUSAVG,36.45,N
09/05/2026,1,3,HB_BUSAVG,35.16,N
09/05/2026,1,4,HB_BUSAVG,31.51,N
09/05/2026,2,1,HB_BUSAVG,35.04,N
09/05/2026,2,2,HB_BUSAVG,32.16,N
09/05/2026,2,3,HB_BUSAVG,34.54,N
09/05/2026,2,4,HB_BUSAVG,31.61,N
09/05/2026,3,1,HB_BUSAVG,36.53,N
09/05/2026,3,2,HB_BUSAVG,31.09,N
09/05/2026,3,3,HB_BUSAVG,30.89,N
09/05/2026,3,4,HB_BUSAVG,31.76,N
09/05/2026,4,1,HB_BUSAVG,28.72,N
09/05/2026,4,2,HB_BUSAVG,29.49,N
09/05/2026,4,3,HB_BUSAVG,30.77,N
09/05/2026,4,4,HB_BUSAVG,29.08,N
09/05/2026,5,1,HB_BUSAVG,28.17,N
09/05/2026,5,2,HB_BUSAVG,29.97,N
09/05/2026,5,3,HB_BUSAVG,29.62,N
09/05/2026,5,4,HB_BUSAVG,29.79,N
09/05/2026,6,1,HB_BUSAVG,29.93,N
09/05/2026,6,2,HB_BUSAVG,31.03,N
09/05/2026,6,3,HB_BUSAVG,31.39,N
09/05/2026,6,4,HB_BUSAVG,32.05,N
09/05/2026,7,1,HB_BUSAVG,30.51,N
09/05/2026,7,2,HB_BUSAVG,32.01,N
09/05/2026,7,3,HB_BUSAVG,31.37,N
09/05/2026,7,4,HB_BUSAVG,31.41,N
09/05/2026,8,1,HB_BUSAVG,31.32,N
09/05/2026,8,2,HB_BUSAVG,31.68,N
09/05/2026,8,3,HB_BUSAVG,29.36,N
09/05/2026,8,4,HB_BUSAVG,25.6,N
09/05/2026,9,1,HB_BUSAVG,26.47,N
09/05/2026,9,2,HB_BUSAVG,23.16,N
